PLOT,Accession,LOC,Year,REP,Block,Design,Trial,Settweight,NPH,Vigor,AUDPC_YMV,rAUDPC_YMV,AUDPC_YAD,rAUDPC_YAD,Yield per plot (kg),TTNPL,TTWPL,Yield_udj,YIELD,ATW,DMC,Oxint180Minutes,OXBI
1001,TDr1738096,Ibadan,2020,1,1,Partial replicated,TFE,,8,3,210,0.0175,180,0.015,2.06,1.25,0.26,1.72,2.58,0.21,36.00,0,0.00
1002,TDr1738094,Ibadan,2020,1,1,Partial replicated,TFE,,7,2,285,0.02375,210,0.0175,1.69,0.86,0.24,1.88,2.41,0.28,,0,-0.05
1003,TDr1738053,Ibadan,2020,1,1,Partial replicated,TFE,,7,3,255,0.02125,165,0.01375,2.09,1.00,0.30,2.61,2.99,0.30,27.33,1,-0.07
1004,TDr1738093,Ibadan,2020,1,1,Partial replicated,TFE,,6,3,270,0.0225,210,0.0175,1.57,1.00,0.26,2.24,2.62,0.26,31.33,1,-0.02
1005,TDr1738046,Ibadan,2020,1,1,Partial replicated,TFE,,,3,195,0.01625,,,,,,,,,,,
1006,TDr1738082,Ibadan,2020,1,1,Partial replicated,TFE,,6,2,255,0.02125,165,0.01375,2.32,1.17,0.39,2.90,3.87,0.33,23.95,1,-0.13
1007,TDr1738013,Ibadan,2020,1,1,Partial replicated,TFE,,1,2,270,0.0225,180,0.015,0.26,2.00,0.26,0.65,2.60,0.13,,,
1008,TDr1738090,Ibadan,2020,1,1,Partial replicated,TFE,,4,2,225,0.01875,,,0.12,0.25,0.03,0.17,0.30,0.12,,,
1009,TDr1738023,Ibadan,2020,1,1,Partial replicated,TFE,,2,3,210,0.0175,165,0.01375,0.45,1.00,0.23,0.56,2.25,0.23,31.25,0,0.01
1010,TDr1738071,Ibadan,2020,1,1,Partial replicated,TFE,,3,2,240,0.02,135,0.01125,0.66,1.33,0.22,1.10,2.20,0.17,,,
1011,TDr1738072,Ibadan,2020,1,1,Partial replicated,TFE,,4,2,225,0.01875,240,0.02,0.59,0.75,0.15,1.18,1.48,0.20,,,
1012,TDr1738050,Ibadan,2020,1,1,Partial replicated,TFE,,3,3,240,0.02,240,0.02,0.92,1.00,0.31,1.53,3.07,0.31,23.78,2,-0.48
1013,TDr1738064,Ibadan,2020,1,1,Partial replicated,TFE,,3,2,225,0.01875,210,0.0175,0.65,1.33,0.22,0.93,2.17,0.16,19.81,2,0.06
1014,TDr1738026,Ibadan,2020,1,1,Partial replicated,TFE,,4,2,330,0.0275,,,0.37,1.00,0.09,0.53,0.93,0.09,31.88,0,-0.01
1015,TDr1738043,Ibadan,2020,1,1,Partial replicated,TFE,,5,2,300,0.025,150,0.0125,0.75,1.00,0.15,1.25,1.50,0.15,28.77,0,0.01
1016,TDr1738076,Ibadan,2020,1,1,Partial replicated,TFE,,4,2,255,0.02125,180,0.015,1.93,1.00,0.48,3.22,4.83,0.48,24.67,1,0.03
1017,TDr1738079,Ibadan,2020,1,1,Partial replicated,TFE,,5,2,315,0.02625,195,0.01625,1.31,1.00,0.26,1.46,2.62,0.26,25.33,3,-0.35
1018,TDr1738054,Ibadan,2020,1,1,Partial replicated,TFE,,9,3,255,0.02125,180,0.015,0.57,1.00,0.06,0.48,0.63,0.06,28.72,0,-0.06
1019,TDr1738034,Ibadan,2020,1,1,Partial replicated,TFE,,7,3,240,0.02,165,0.01375,1.31,1.00,0.19,1.31,1.87,0.19,30.67,1,0.00
1020,TDr1738038,Ibadan,2020,1,1,Partial replicated,TFE,,6,2,210,0.0175,150,0.0125,1.17,1.00,0.20,1.17,1.95,0.20,28.12,2,0.09
1021,TDr1738006,Ibadan,2020,1,1,Partial replicated,TFE,,8,2,270,0.0225,225,0.01875,1.63,1.00,0.20,1.36,2.04,0.20,25.33,0,-0.01
1022,TDr1738003,Ibadan,2020,1,1,Partial replicated,TFE,,6,3,270,0.0225,150,0.0125,1.15,1.00,0.19,1.44,1.92,0.19,19.08,0,-0.09
1023,TDr1738021,Ibadan,2020,1,1,Partial replicated,TFE,,8,3,285,0.02375,240,0.02,1.49,0.63,0.19,0.93,1.86,0.30,32.67,1,-0.05
1024,TDr1738051,Ibadan,2020,1,1,Partial replicated,TFE,,7,2,285,0.02375,300,0.025,1.06,1.29,0.15,1.06,1.51,0.12,15.29,0,-0.07
1025,TDr1738056,Ibadan,2020,1,1,Partial replicated,TFE,,5,2,330,0.0275,120,0.01,0.76,1.40,0.15,0.95,1.52,0.11,29.83,0,-0.11
